case_index,round_1_result_id,round_1_label,round_2_result_id,round_2_partial_label
0,26,fail,168,fail
1,27,pass,169,pass
2,29,pass,170,pass
3,31,fail,171,fail
4,32,pass,172,pass
5,33,pass,173,pass
6,34,fail,174,pass
7,35,pass,175,pass
8,36,pass,176,pass
9,37,pass,177,pass
10,38,pass,178,pass
11,39,pass,179,pass
12,41,pass,180,pass
13,42,pass,181,pass
14,43,pass,182,pass
15,44,pass,183,pass
16,45,pass,184,pass
17,49,pass,185,pass
18,50,pass,186,pass
19,51,pass,187,fail
20,52,fail,188,pass
21,53,pass,189,pass
22,54,pass,190,pass
23,55,pass,191,fail
24,56,fail,192,fail
25,57,fail,193,pass
26,59,pass,194,fail
27,60,fail,195,pass
28,61,pass,196,pass
29,62,pass,197,needs_review
30,63,needs_review,198,fail
31,64,fail,199,fail
32,65,fail,200,pass
33,66,pass,201,fail
34,68,fail,202,fail
35,69,fail,203,needs_review
36,70,needs_review,204,pass
37,71,pass,205,pass
38,72,pass,206,fail
39,73,fail,207,pass
40,74,fail,208,pass
